CA	HANFORD/SAN JOAQ	KHNX	US
CA	HANFORD	KO18	US
CA	HAWTHORNE	KHHR	US
CA	HAYWARD	KHWD	US
CA	HEALDSBURG	KHES	US
CA	HECTOR(VOR)	KHEC	US
CA	HOLLISTER MUNI	KCVH	US
CA	HUMBOLDT CTY/88D	KBHX	US
CA	HUNTER LIGGET	KHGT	US
CA	IMPERIAL	KIPL	US
CA	IMPERIAL BEACH	KNRS	US
CA	INYOKERN	KIYK	US
CA	JACKSON	KJAQ	US
CA	LA VERNE/BRACKET	KPOC	US
CA	LANCASTER/FOX	KWJF	US
CA	LEMOORE NAS/REEV	KNLC	US
CA	LINCOLN	KLHM	US
CA	LITTLE RIVER	KLLR	US
CA	LIVERMORE	KLVK	US
CA	LOMPOC	KLPC	US
CA	LONG BEACH	KLGB	US
CA	LOS ALAMITOS AAF	KSLI	US
CA	LOS ANGELES	KLAX	US
CA	LOS ANGELES/OXNA	KLOX	US
CA	LOS ANGELS/ARTCC	KZLA	US
CA	LOS ANGELES	KCQT	US
CA	LA / WHITEMAN	KWHP	US
CA	MADERA	KMAE	US
CA	MAMMOTH/JUNE LAK	KMMH	US
CA	MARYSVILLE	KMYV	US
CA	MATHER FIELD	KMHR	US
CA	MCCLELLAN AFB	KMCC	US
CA	MERCED	KMCE	US
CA	MERCED/CASTLE AF	KMER	US
CA	MIRAMAR NAS/SAN	KNKX	US
CA	MISSION BAY VOR	KMZB	US
CA	MODESTO	KMOD	US
CA	MOFFETT NAS/MTN	KNUQ	US
CA	MOJAVE	KMHV	US
CA	MONTAGUE/SISKIYO	KSIY	US
CA	MONTEREY	KMRY	US
CA	MONTEREY/WFOKMTR		US
CA	MOUNT SHASTA	KMHS	US
CA	MOUNT WILSON	KMWS	US
CA	MURRIETA/TEMECUL	KF70	US
CA	NAPA	KAPC	US
CA	NEEDLES	KEED	US
CA	NEWHALL	K3A6	US
CA	NORTH ISLAND NAS	KNZY	US
CA	NOVATO/GNOSS FLD	KDVO	US
CA	OAKLAND	KOAK	US
CA	OAKLAND/ARTCC	KZOA	US
CA	OCEANSIDE	KOKB	US
CA	OCEANSIDE/RED-B	KNXF	US
CA	ONTARIO	KONT	US
CA	ORANGE CTY/88D	KSOX	US
CA	ORCUTT OIL/VBG	KVBX	US
CA	OROVILLE	KOVE	US
CA	OXNARD	KOXR	US
CA	PALM SPRINGS	KPSP	US
CA	PALMDALE	KPMD	US
CA	PALMDALE	KGXA	US
CA	PALO ALTO	KPAO	US
CA	PASO ROBLES	KPRB	US
CA	PETALUMA	KO69	US
CA	PLACERVILLE	KPVF	US
CA	POINT MUGU NAS	KNTD	US
CA	POINT REYES VOR	KPYE	US
CA	PORTERVILLE	KPTV	US
CA	PT. PIEDRAS BLAN	K87Q	US
CA	RED BLUFF	KRBL	US
CA	REDDING	KRDD	US
CA	REDLANDS	KREI	US
CA	RIO VISTA	KO88	US
CA	RIVERSIDE	KRAL	US
CA	RIVERSIDE/MARCH	KRIV	US
CA	RAMONA	KRNM	US
CA	SACRAMENTO	KSAC	US
CA	SACRAMENTO/WFO	KSTO	US
CA	SACRAMENTO/RFC	KRSA	US
CA	SACRAMENTO/88D	KDAX	US
CA	SACRAMENTO/METRO	KSMF	US
CA	SALINAS	KSNS	US
CA	SAN ANDREAS	KCPU	US
CA	SAN BERNARDINO	KSBD	US
CA	SAN CARLOS AIRPO	KSQL	US
CA	SAN CLEMENTE IS.	KNUC	US
CA	SAN DIEGO	KSAN	US
CA	SAN DIEGO/MNTGMY	KMYF	US
CA	SAN DIEGO/BROWN	KSDM	US
CA	SAN DIEGO/SANTEE	KSEE	US
CA	SAN DIEGO/WFO	KSGX	US
CA	SAN FRANCISCO	KSFO	US
CA	SAN JOSE	KSJC	US
CA	SAN JOSE/REID	KRHV	US
CA	SAN LUIS OBISPO	KSBP	US
CA	SAN MARTIN	KE16	US
CA	SAN NICOLAS ISLA	KNSI	US
CA	SANDBERG	KSDB	US
CA	COSTA MESA	KSNA	US
CA	SANTA BARBARA	KSBA	US
CA	SANTA BARB(VOR)	KRZS	US
CA	SANTA CLAR/88D	KMUX	US
CA	SANTA MARIA	KSMX	US
CA	SANTA MONICA	KSMO	US
CA	SANTA ROSA	KSTS	US
CA	SANTA YNEZ	KIZA	US
CA	SHELTER COVE	KO87	US
CA	SOUTH LAKE TAHOE	KTVL	US
CA	STOCKTON	KSCK	US
CA	SUSANVILLE MUNI	KSVE	US
CA	THERMAL/PALM SPG	KTRM	US
CA	TORRANCE MUNICIP	KTOA	US
CA	TRAVIS AFB/FAIRF	KSUU	US
CA	TRUCKEE TAHOE	KTRK	US
CA	TEHACHAPI	KTSP	US
CA	TRINITY CENTER	KO86	US
CA	TWENTYNINE PALMS	KNXP	US
CA	UKIAH	KUKI	US
CA	UKIAH(VOR)	KENI	US
CA	VACAVILLE	KVCB	US
CA	VAN NUYS	KVNY	US
CA	VANDENBERG AFB	KVBG	US
CA	VANDENBERG RANGE	KXVW	US
CA	VENTURA CTY/88D	KVTX	US
CA	VICTORVILLE	KVCV	US
CA	VISALIA MUNI	KVIS	US
CA	WATSONVILLE	KWVI	US
CA	WEAVERVILLE	KO54	US
CA	ALTURAS	KO00	US
CA	ALTURAS	KS11	US
CA	BODEGA BAY	K92Q	US
CA	CROWS LANDING	KNRC	US
CA	CUDDLEBACK GUN R		US
CA	EL TORO MCAS	KNZJ	US
CA	FORT ORD/FRITZSC	KOAR	US
CA	MONTAGUE/YREKA	K1O5	US
CA	OCEANSIDE	KL32	US
CA	PILAR POINT AFS	K53Q	US
CA	POINT ARGUELLO		US
CA	POINT ARGUELLO	KPGU	US
CA	POINT ARENA	KPAA	US
CA	POINT ARENA		US
CA	ROMONA	KL39	US
CA	RANCHO MURIETA	KRIU	US
CA	SALTON SEA		US
CA	SUPERIOR VALLEY	K4SU	US
CA	TUSTIN MCAS	KNTK	US
CA	VACAVILLE	KO45	US
CA	MARCH AFB/88D	KRIX	US
			
CO	LORADO           1	4-SE	
CD	STATION	ICAO	
CO	DENVER (DIA)	KDEN	US
CO	AKRON	KAKO	US
CO	ALAMOSA	KALS	US
CO	ASPEN	KASE	US
CO	BERTHOUD PASS	K0CO	US
CO	BOULDER DEN/WFO	KBOU	US
CO	BROOMFIELD/JEFFC	KBJC	US
CO	BUCKLEY ANGB/DEN	KBKF	US
CO	BURLINGTON	KITR	US
CO	CANON CITY	K1V6	US
CO	CHEYENNE MOUNTAI	KCWN	US
CO	COLORADO SPRINGS	KCOS	US
CO	CO SPNGS MEADOW	KFLY	US
CO	CORTEZ	KCEZ	US
CO	CRAIG	KCAG	US
CO	DEL NORTE	KRCV	US
CO	DENVER/ARAPAHOE	KAPA	US
CO	DENVER F. RANGE	KFTG	US
CO	DENVER/ARTCC	KZDV	US
CO	DENVER/STAPLETON	KDNR	US
CO	DOVE CREEK	KDVC	US
CO	DURANGO	KDRO	US
CO	EAGLE CO. REGION	KEGE	US
CO	RED TABLE VOR	KDBL	US
CO	FORT CARSON	KFCS	US
CO	FT COLLINS/LOVEL	KFNL	US
CO	GRANADA PROFILER		US
CO	GRAND JUNCTION	KGJT	US
CO	GRAND JUNCTION	KJNC	US
CO	GRAND JUNC/MESA	KGJX	US
CO	GREELEY/WELD	KGXY	US
CO	GUNNISON	KGUC	US
CO	GUNNISON(VOR)	KHBU	US
CO	HAYDEN VOR	KCHE	US
CO	HAYDEN/YAMPA	KHDN	US
CO	LA JUNTA	KLHX	US
CO	LAMAR	KLAA	US
CO	LEADVILLE	KLXV	US
CO	LIMON	KLIC	US
CO	WALTON PEAK	KC07	US
CO	MEEKER	KEEO	US
CO	MONTROSE	KMTJ	US
CO	NUCLA/HOPKINS F	KAIB	US
CO	PETERSON AFB	KPEF	US
CO	PLATTEVILLE PROF		US
CO	PUEBLO CTY 88D	KPUX	US
CO	PUEBLO	KPUB	US
CO	RIFLE	KRIL	US
CO	SAGUACHE MUNI	K04V	US
CO	SCHRIEVER AFB	KSHM	US
CO	SPRINGFIELD	KSPD	US
CO	STEAMBOAT SPRING	KSBS	US
CO	MT WERNER SBS	K3MW	US
CO	TELLURIDE REGION	KTEX	US
CO	TOBE/VOR	KTBE	US
CO	TRINIDAD/ANIMAS	KTAD	US
CO	USAF ACADEMY/COS	KAFF	US
CO	DURANGO(AWRS)	K4V5	US
CO	FORT COLLINS	KFCL	US
CO	FRASER	K4FC	US
CO	GUNNISON/AWRS	K2V9	US
CO	LAMAR	K4LJ	US
CO	SALIDA	KS29	US
CO	WINTER PARK	KC96	US
CO	YUMA	K2V6	US
CO	FLAGLER	KFLA	US
CO	KIRK	K72C	US
CO	STERLING	KSTK	US
CO	STRATTON	KSTR	US
CO	RED CLIFF PASS	KCCU	US
CO	RANGELY	K4V0	US
CO	BUENA VISTA	KAEJ	US
CO	DELTA/BLAKE FLD	KAJZ	US
CO	SALIDA	KANK	US
CO	BOULDER MUNI	KBDU	US
CO	ELLICOTT-B AFA	KABH	US
CO	ERIE MUNI	KEIK	US
CO	FORT MORGAN	KFMM	US
CO	GRANBY/GRAND CO	KGNB	US
CO	HOLYOKE	KHEQ	US
CO	LONGMONT/VBRAND	KLMO	US
CO	PAGOSA SPRINGS	KPSO	US
CO	WOLF CREEK PASS	KCPW	US
CO	CORONA PASS	KCRV	US
CO	MONUMENT/ELBERT	KMNH	US
CO	MONARCH PASS	KMYP	US
CO	LA VETA PASS	KVTP	US
CO	WALDEN	K33V	US
CO	KREMMLING AWOS	K20V	US
CO	WILKERSON PASS	K4BM	US
CO	SUNLIGHT	K5SM	US
CO	COTTONWOOD PASS	K7BM	US
CO	WRAY	K2V5	US
			
CO	NNECTICUT        0	9-SE	
CD	STATION	ICAO	
CT	BRIDGEPORT	KBDR	US
CT	CHESTER	KSNC	US
CT	DANBURY	KDXR	US
CT	GROTON/NEW LONDO	KGON	US
CT	HARTFORD/BRAINAR	KHFD	US
CT	MERIDEN	KMMK	US
CT	NEW HAVEN/TWEED	KHVN	US
CT	OXFORD/WATERBURY	KOXC	US
CT	WILLIMANTIC	KIJD	US
CT	WINDSOR LOCKS	KBDL	US
CT	MANSFIELD	K5B0	US
CT	PUTNAM	K5B3	US
			
DE	LAWARE           1	6-DE	
CD	STATION	ICAO	
DE	DOVER AFB	KDOV	US
DE	DOVER/ELLENDALE	KDOX	US
DE	GEORGETOWN	KGED	US
DE	WILMINGTON	KILG	US
			
FL	ORIDA            1	4-JU	
CD	STATION	ICAO	
FL	APALACHICOLA	KAAF	US
FL	BARTOW MUNICIPAL	KBOW	US
FL	BOCA RATON	KBCT	US
FL	BONIFAY TRI-CTY	K1J0	US
FL	BROOKSVILLE	KBKV	US
FL	CAPE CANAVERAL	KXMR	US
FL	CECIL FIELD NAS	KNZC	US
FL	CLEARWATER	KCLW	US
FL	CRESTVIEW	KCEW	US
FL	CROSS CITY	KCTY	US
FL	CRYSTAL RIVER	KCGC	US
FL	DAYTONA BEACH	KDAB	US
FL	DE FUNIAK SPRNGS	K54J	US
FL	DELAND	KDED	US
FL	DESTIN	KDTS	US
FL	DUKE FLD/EGLIN	KEGI	US
FL	EGLIN AFB/88D	KEVX	US
